movieId,userId,rating,timestamp,label,movieRatingCount,movieAvgRating,movieRatingStddev,releaseYear,movieGenre1,movieGenre2,movieGenre3,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
434,10723,3.5,1167574381,1,100,2.73,0.95,1993,Action,Adventure,Thriller,111,260,318,,,4,1984,9.57,4.38,0.95,Crime,Drama,Action,Adventure,Sci-Fi
736,10752,2.0,1156296655,0,100,2.83,0.93,1996,Action,Adventure,Romance,596,48,163,784,,5,1984,24.71,3.40,1.43,Romance,Animation,Children,Musical,Comedy
765,10752,3.0,1156297473,0,100,2.68,0.99,1996,Comedy,Drama,,551,253,2,47,150,14,1990,14.65,3.79,1.17,Children,Drama,Comedy,Romance,Animation
597,10752,5.0,1156297877,1,100,3.21,0.89,1990,Comedy,Romance,,551,253,2,47,150,15,1991,14.18,3.73,1.15,Children,Drama,Comedy,Romance,Animation
541,10752,3.0,1156298198,0,100,4.17,0.85,1982,Action,Sci-Fi,Thriller,597,551,253,2,47,18,1991,12.93,3.58,1.30,Comedy,Romance,Children,Drama,Animation
575,10752,5.0,1156361485,1,100,2.60,1.08,1994,Children,Comedy,,73,531,141,593,318,29,1991,10.35,3.26,1.44,Drama,Comedy,Children,Romance,Thriller
367,10752,3.0,1156895448,0,100,3.04,1.05,1994,Action,Comedy,Crime,314,986,224,785,745,50,1991,11.23,3.22,1.39,Drama,Comedy,Children,Romance,Thriller
364,10752,4.0,1156895463,1,100,3.53,1.06,1994,Adventure,Animation,Children,595,314,986,224,785,52,1991,11.01,3.22,1.36,Drama,Comedy,Children,Romance,Animation
19,10752,2.5,1166288938,0,100,2.60,1.08,1995,Comedy,,,919,223,588,364,595,60,1991,12.36,3.22,1.30,Children,Comedy,Drama,Animation,Musical
902,10752,0.5,1166288973,0,100,3.79,0.78,1961,Drama,Romance,,919,223,588,364,595,61,1991,12.26,3.20,1.29,Children,Comedy,Drama,Animation,Musical
5,10752,0.5,1166289120,0,100,2.58,0.96,1995,Comedy,,,919,223,588,364,595,63,1990,12.67,3.13,1.34,Children,Comedy,Drama,Animation,Musical
262,10752,3.5,1166293060,1,100,3.58,0.91,1995,Children,Drama,,107,919,223,588,364,72,1991,11.91,3.07,1.30,Children,Comedy,Drama,Musical,Adventure
6,10801,4.0,1177955978,1,100,3.96,0.82,1995,Action,Crime,Thriller,858,608,32,296,318,10,1988,12.63,3.90,0.46,Drama,Thriller,Crime,Mystery,Comedy
175,10805,3.5,1307416442,1,100,3.64,0.90,1995,Drama,,,88,428,,,,2,1994,2.12,4.50,0.71,Drama,Comedy,,,
904,10805,4.0,1307417190,1,100,4.03,0.79,1954,Mystery,Thriller,,858,175,88,428,,4,1989,11.40,4.38,0.75,Drama,Comedy,Crime,,
337,10809,3.5,1163118519,1,100,3.78,0.81,1993,Drama,,,104,2,919,223,,4,1981,28.01,4.00,0.71,Comedy,Adventure,Children,Fantasy,Musical
19,10809,3.0,1228673702,0,100,2.83,1.04,1995,Comedy,,,344,493,904,288,953,24,1987,16.52,3.96,0.46,Thriller,Crime,Drama,Action,Comedy
920,10809,4.0,1275881129,1,100,3.81,0.99,1939,Drama,Romance,War,589,593,480,344,493,29,1988,15.14,3.90,0.49,Thriller,Crime,Action,Adventure,Drama
414,10829,1.5,1230438976,0,66,2.44,0.87,1994,Comedy,,,940,410,19,344,32,10,1988,17.88,3.45,1.38,Comedy,Crime,Drama,Mystery,Sci-Fi
588,10829,4.0,1230438991,1,100,3.78,0.84,1992,Adventure,Animation,Children,413,940,410,19,344,12,1989,16.30,3.33,1.39,Comedy,Crime,Drama,Mystery,Sci-Fi
13,10829,0.5,1230440042,0,86,3.05,0.98,1995,Adventure,Animation,Children,34,150,588,413,940,18,1991,13.34,3.22,1.30,Comedy,Drama,Children,Adventure,Crime
780,10829,3.5,1230442159,1,100,3.33,0.80,1996,Action,Adventure,Sci-Fi,527,589,34,150,588,22,1991,12.03,3.16,1.44,Comedy,Drama,Children,Adventure,Sci-Fi
592,10829,3.5,1230442162,1,100,3.53,0.84,1989,Action,Crime,Thriller,780,527,589,34,150,23,1991,11.80,3.17,1.41,Comedy,Drama,Adventure,Sci-Fi,Children
356,10829,3.0,1230442331,0,100,4.16,0.83,1994,Comedy,Drama,Romance,480,593,260,592,780,27,1991,11.22,3.35,1.39,Action,Adventure,Sci-Fi,Thriller,Comedy
500,10829,2.5,1230442469,0,100,3.38,0.81,1993,Comedy,Drama,,47,608,110,165,480,35,1991,9.96,3.41,1.30,Thriller,Action,Drama,Comedy,Adventure
231,10829,4.0,1230442574,1,100,3.00,1.14,1994,Adventure,Comedy,,329,316,377,47,608,39,1992,9.44,3.44,1.26,Action,Thriller,Adventure,Drama,Sci-Fi
597,10829,3.5,1230442655,1,100,3.33,0.96,1990,Comedy,Romance,,367,1,380,231,329,43,1992,9.00,3.48,1.21,Action,Adventure,Thriller,Comedy,Drama
912,10829,4.5,1230442860,1,100,4.04,0.92,1942,Drama,Romance,,95,39,253,10,208,51,1992,8.32,3.48,1.14,Action,Adventure,Thriller,Comedy,Drama
924,10829,4.0,1230442981,1,100,3.75,1.15,1968,Adventure,Drama,Sci-Fi,36,141,541,364,912,56,1991,10.52,3.55,1.12,Action,Adventure,Thriller,Comedy,Drama
919,10829,5.0,1230443223,1,100,3.71,1.04,1939,Adventure,Children,Fantasy,293,223,924,36,141,61,1991,10.53,3.54,1.13,Action,Adventure,Thriller,Comedy,Drama
440,10829,3.5,1230443288,1,100,3.41,0.81,1993,Comedy,Romance,,919,293,223,924,36,62,1990,12.38,3.56,1.13,Action,Adventure,Thriller,Comedy,Drama
920,10829,4.0,1230443507,1,100,3.69,1.01,1939,Drama,Romance,War,594,104,2,440,919,66,1989,13.72,3.58,1.10,Adventure,Action,Comedy,Drama,Thriller
353,10829,3.5,1230443738,1,100,3.64,0.91,1994,Action,Crime,Fantasy,442,653,350,337,317,78,1989,13.97,3.64,1.07,Adventure,Drama,Action,Comedy,Thriller
784,10829,4.0,1230443812,1,100,2.79,0.97,1996,Comedy,Thriller,,904,3,353,442,653,82,1989,14.22,3.64,1.08,Adventure,Action,Drama,Comedy,Thriller
435,10829,3.5,1230443925,1,100,2.52,0.98,1993,Comedy,Sci-Fi,,7,370,553,908,784,88,1988,14.88,3.66,1.06,Action,Comedy,Adventure,Drama,Thriller
543,10829,5.0,1230444458,1,100,3.04,0.92,1993,Comedy,Romance,Thriller,70,342,172,596,485,100,1989,14.33,3.63,1.03,Action,Comedy,Adventure,Drama,Thriller
303,10829,3.5,1230448263,1,100,3.06,0.99,1995,Action,Thriller,Western,441,180,431,968,719,100,1988,15.67,3.54,1.06,Comedy,Action,Adventure,Drama,Romance
327,10829,5.0,1230448636,1,100,2.60,1.35,1995,Action,Comedy,Sci-Fi,303,441,180,431,968,100,1988,15.68,3.53,1.06,Comedy,Action,Adventure,Thriller,Drama
480,10872,3.0,1330807829,0,100,3.65,0.93,1993,Action,Adventure,Sci-Fi,215,364,223,778,356,7,1994,0.98,3.86,1.52,Comedy,Drama,Romance,Horror,War
169,10904,2.0,1202656902,0,100,1.68,0.89,1995,Adventure,Children,Drama,,,,,,2,1995,0.00,2.25,0.35,,,,,
318,10904,4.5,1202658138,1,100,4.32,0.76,1994,Crime,Drama,,356,296,288,608,32,8,1994,0.71,3.38,1.03,Thriller,Comedy,Crime,Drama,Mystery
110,10904,3.5,1202658147,1,100,3.97,1.04,1995,Action,Drama,War,318,356,296,288,608,9,1994,0.71,3.50,1.03,Thriller,Crime,Drama,Comedy,Mystery
597,10904,3.5,1202658195,1,100,3.29,1.19,1990,Comedy,Romance,,344,527,590,150,110,14,1994,1.42,3.68,0.87,Drama,Thriller,Comedy,Crime,War
260,11,5.0,1230787560,1,100,3.98,0.95,1977,Action,Adventure,Sci-Fi,541,384,150,828,410,14,1992,7.29,3.71,1.25,Children,Action,Adventure,Thriller,Drama
286,11,0.5,1230787831,0,9,1.72,1.20,1995,Action,Sci-Fi,Thriller,172,611,673,405,880,22,1992,6.85,3.82,1.28,Action,Sci-Fi,Adventure,Thriller,Children
441,11,1.5,1230853962,0,100,3.55,0.93,1993,Comedy,,,551,610,784,110,648,40,1992,5.56,4.03,1.20,Action,Sci-Fi,Adventure,Thriller,Children
356,11,5.0,1230858804,1,100,4.12,0.84,1994,Comedy,Drama,Romance,296,761,158,551,610,45,1992,5.29,3.90,1.23,Action,Sci-Fi,Adventure,Thriller,Children
593,11078,4.0,1286031635,1,100,4.04,0.71,1991,Crime,Horror,Thriller,296,20,232,,,4,1994,0.50,3.38,0.95,Comedy,Drama,Crime,Thriller,Romance
367,11078,3.0,1286033689,0,100,2.81,1.02,1994,Action,Comedy,Crime,733,377,588,380,527,24,1992,9.17,3.60,0.59,Thriller,Drama,Comedy,Crime,Adventure
593,11109,4.0,1151617985,1,100,4.05,0.74,1991,Crime,Horror,Thriller,750,924,485,111,241,17,1988,10.41,3.76,0.92,Action,Comedy,Drama,Adventure,Thriller
480,11109,3.5,1151618695,1,100,3.60,0.92,1993,Action,Adventure,Sci-Fi,508,356,150,497,337,24,1990,8.95,3.90,0.81,Drama,Comedy,Action,Adventure,Thriller
50,11137,5.0,1239401658,1,100,4.32,0.67,1995,Crime,Mystery,Thriller,940,307,14,431,596,6,1975,28.42,3.67,1.17,Drama,Animation,Children,Fantasy,Musical
364,11137,3.5,1239402120,1,100,3.80,0.78,1994,Adventure,Animation,Children,858,588,527,47,318,19,1986,17.52,4.05,0.90,Drama,Crime,Adventure,Thriller,Animation
95,11137,2.5,1313031404,0,100,2.90,0.88,1996,Action,Adventure,Thriller,1,587,508,111,293,34,1989,13.64,3.69,1.04,Drama,Crime,Thriller,Adventure,Comedy
231,11175,3.5,1190145887,1,100,2.80,1.08,1994,Adventure,Comedy,,527,590,593,50,296,15,1993,1.68,3.40,1.50,Drama,Comedy,Crime,Thriller,Mystery
253,11175,4.0,1190146237,1,100,3.52,0.99,1994,Drama,Horror,,357,356,47,231,527,19,1993,1.53,3.55,1.37,Drama,Comedy,Thriller,Mystery,Romance
223,11175,5.0,1193077564,1,100,3.69,0.95,1994,Comedy,,,288,587,589,344,367,33,1993,4.77,3.47,1.37,Drama,Comedy,Crime,Thriller,Mystery
19,11175,3.5,1193077761,1,100,2.65,1.12,1995,Comedy,,,586,223,288,587,589,37,1993,4.57,3.42,1.38,Drama,Comedy,Crime,Thriller,Mystery
345,11236,3.0,1139446013,0,100,3.37,1.02,1994,Comedy,Drama,,590,318,858,356,,6,1989,8.95,3.42,0.66,Drama,Crime,Comedy,Romance,War
342,11236,3.0,1139446152,0,100,3.40,0.99,1994,Comedy,,,158,590,318,858,356,9,1991,7.43,3.33,0.56,Drama,Crime,Adventure,Comedy,Romance
141,11247,2.5,1136342538,0,100,3.35,0.95,1996,Comedy,,,908,923,16,,,12,1985,17.76,3.04,0.66,Drama,Mystery,Crime,Action,Adventure
216,11247,2.5,1136342760,0,100,2.90,1.16,1995,Comedy,,,950,908,923,16,,18,1983,19.81,2.83,0.84,Crime,Drama,Mystery,Action,Adventure
150,11280,4.0,1223397932,1,100,3.63,0.76,1995,Adventure,Drama,IMAX,110,260,356,208,720,7,1992,6.74,3.79,0.64,Adventure,Action,Comedy,Sci-Fi,Drama
344,11280,4.0,1223397962,1,100,3.08,1.12,1994,Comedy,,,780,589,150,110,260,10,1992,5.72,3.90,0.57,Adventure,Action,Sci-Fi,Drama,Comedy
112,11280,3.5,1223398460,1,100,3.12,0.94,1995,Action,Adventure,Comedy,653,420,2,434,329,19,1993,4.17,3.89,0.52,Adventure,Action,Sci-Fi,Comedy,Drama
196,11280,4.0,1223398508,1,100,2.62,0.96,1995,Horror,Sci-Fi,,112,653,420,2,434,20,1993,4.07,3.88,0.51,Adventure,Action,Comedy,Sci-Fi,Drama
95,11463,3.5,1227413751,1,100,2.98,0.80,1996,Action,Adventure,Thriller,253,208,292,587,539,32,1992,5.45,3.84,0.50,Drama,Thriller,Action,Comedy,Adventure
858,11500,4.0,1398893055,1,100,4.33,0.86,1972,Crime,Drama,,318,924,933,,,7,1984,16.41,2.14,2.08,Crime,Drama,Mystery,Romance,Thriller
782,11563,4.0,1217542741,1,100,2.79,0.85,1996,Drama,Thriller,,147,382,,,,2,1994,0.71,3.75,0.35,Drama,Horror,Romance,Thriller,
711,11563,1.0,1217542802,0,85,2.31,1.10,1996,Adventure,Children,,73,782,147,382,,4,1995,0.82,3.75,0.29,Drama,Thriller,Horror,Romance,War
500,11563,3.5,1217544360,1,100,3.12,1.01,1993,Comedy,Drama,,353,253,296,778,47,13,1993,6.38,4.00,1.02,Drama,Thriller,Crime,Horror,War
480,11563,3.5,1217545059,1,100,3.66,0.83,1993,Action,Adventure,Sci-Fi,593,356,736,780,193,19,1993,5.34,3.97,0.87,Drama,Thriller,Crime,Comedy,Horror
364,11563,4.0,1217545122,1,100,3.72,0.90,1994,Adventure,Animation,Children,648,344,590,110,480,29,1993,4.50,3.62,1.15,Drama,Thriller,Action,Crime,Comedy
6,11563,2.0,1217546044,0,100,3.85,0.87,1995,Action,Crime,Thriller,208,150,292,231,597,43,1993,3.84,3.23,1.39,Drama,Thriller,Adventure,Action,Comedy
593,11571,4.0,1299193083,1,100,4.00,0.81,1991,Crime,Horror,Thriller,296,,,,,2,1994,0.00,3.50,1.41,Comedy,Crime,Drama,Thriller,
110,1158,4.0,1225559095,1,100,4.07,0.80,1995,Action,Drama,War,541,858,648,50,32,11,1990,7.31,4.18,1.03,Thriller,Crime,Action,Sci-Fi,Mystery
780,1158,4.0,1225559117,1,100,3.46,0.90,1996,Action,Adventure,Sci-Fi,150,110,541,858,648,14,1991,6.60,4.00,1.02,Thriller,Action,Crime,Drama,Sci-Fi
858,11667,5.0,1230558769,1,100,4.16,0.97,1972,Crime,Drama,,836,,,,,2,1994,2.12,3.25,0.35,Action,Adventure,Thriller,,
315,11698,1.5,1292207848,0,100,2.81,0.96,1994,Action,Drama,Thriller,805,,,,,2,1995,1.41,2.25,2.47,Drama,Thriller,,,
2,11718,2.0,1249724866,0,100,3.12,0.99,1995,Adventure,Children,Fantasy,288,318,586,593,356,7,1993,2.06,4.07,0.89,Crime,Comedy,Drama,Thriller,Romance
32,11718,3.5,1249725001,1,100,3.92,0.80,1995,Mystery,Sci-Fi,Thriller,260,288,318,586,593,9,1991,5.81,3.94,1.10,Crime,Comedy,Drama,Thriller,Action
539,11722,3.5,1157339975,1,100,3.19,0.99,1993,Comedy,Drama,Romance,296,590,500,50,349,29,1993,1.24,3.81,0.67,Drama,Thriller,Action,Adventure,Comedy
282,11756,3.5,1159658662,1,100,2.83,1.08,1994,Drama,,,953,,,,,2,1970,34.65,3.00,1.41,Drama,Fantasy,Romance,,
296,11756,4.0,1159659439,1,100,4.20,0.93,1994,Comedy,Crime,Drama,150,105,246,903,282,9,1979,23.87,3.28,1.56,Drama,Romance,Fantasy,Mystery,Thriller
780,11756,4.0,1159659481,1,100,3.12,1.02,1996,Action,Adventure,Sci-Fi,318,296,150,105,246,11,1981,22.17,3.45,1.46,Drama,Romance,Thriller,Crime,Fantasy
590,11756,4.5,1159659504,1,100,3.62,0.91,1990,Adventure,Drama,Western,780,318,296,150,105,12,1983,21.53,3.50,1.40,Drama,Romance,Thriller,Adventure,Crime
592,11756,3.5,1159659649,1,100,3.53,0.89,1989,Action,Crime,Thriller,1,527,590,780,318,15,1985,19.51,3.70,1.32,Drama,Adventure,Romance,Thriller,Fantasy
681,11794,4.5,1173882919,1,5,3.80,1.25,1981,Crime,,,906,947,968,199,950,100,1983,19.52,3.29,0.74,Drama,Comedy,Thriller,Romance,Mystery
501,11794,4.5,1188228371,1,82,3.73,1.20,1993,Drama,,,898,363,441,215,681,100,1983,19.93,3.35,0.78,Drama,Thriller,Comedy,Romance,Mystery
907,11794,4.0,1231167815,1,56,4.00,0.86,1934,Comedy,Musical,Romance,933,720,745,929,398,100,1983,20.29,3.41,0.83,Comedy,Drama,Thriller,Romance,Mystery
107,11845,1.0,1167937827,0,100,3.15,1.05,1996,Adventure,Children,Comedy,,,,,,3,1995,0.58,2.00,0.00,,,,,
207,11845,3.5,1167937837,1,100,2.93,1.01,1995,Drama,Romance,,,,,,,5,1995,0.55,2.00,0.71,,,,,
50,11863,5.0,1145535640,1,100,4.25,0.74,1995,Crime,Mystery,Thriller,457,318,260,852,805,5,1991,8.04,4.50,0.50,Drama,Thriller,Comedy,Romance,Action
527,11863,5.0,1145658839,1,100,4.14,0.77,1993,Drama,War,,661,913,32,34,150,27,1991,10.80,3.98,0.97,Thriller,Adventure,Drama,Comedy,Action
910,11865,5.0,1191605679,1,100,3.81,0.95,1959,Comedy,Crime,,913,,,,,5,1984,24.05,2.90,1.29,Film-Noir,Mystery,,,
296,11865,5.0,1191668051,1,100,4.18,0.92,1994,Comedy,Crime,Drama,593,968,858,306,307,20,1986,15.03,4.00,1.24,Sci-Fi,Thriller,Drama,Crime,Mystery
380,11865,3.5,1193058422,1,100,3.30,0.93,1994,Action,Adventure,Comedy,457,318,480,589,260,30,1988,12.75,4.02,1.25,Sci-Fi,Thriller,Drama,Crime,Action
110,11865,4.0,1193066262,1,100,3.73,0.97,1995,Action,Drama,War,912,923,47,648,50,43,1987,15.08,3.85,1.28,Thriller,Drama,Crime,Sci-Fi,Mystery
733,11865,1.5,1193149905,0,100,3.45,0.92,1996,Action,Adventure,Thriller,110,912,923,47,648,45,1988,14.80,3.81,1.28,Thriller,Drama,Crime,Sci-Fi,Action
17,11865,3.5,1193436912,1,100,3.75,1.08,1995,Drama,Romance,,141,25,110,912,923,56,1989,13.48,3.50,1.38,Thriller,Drama,Crime,Sci-Fi,Action
293,11865,5.0,1193437295,1,100,4.06,0.66,1994,Action,Crime,Drama,223,288,111,36,17,64,1989,12.81,3.47,1.36,Drama,Thriller,Crime,Action,Sci-Fi
19,11865,1.0,1193437321,0,100,2.65,1.12,1995,Comedy,,,293,223,288,111,36,65,1989,12.72,3.49,1.36,Drama,Thriller,Crime,Action,Sci-Fi
708,11865,2.5,1193649496,0,100,2.90,0.98,1996,Comedy,Romance,,778,293,223,288,111,72,1990,12.17,3.38,1.37,Drama,Thriller,Crime,Action,Comedy
337,11865,4.0,1193649871,1,100,3.75,0.87,1993,Drama,,,235,904,508,778,293,79,1989,12.38,3.31,1.41,Drama,Thriller,Crime,Action,Comedy
158,11865,2.0,1193734423,0,100,2.70,1.01,1995,Adventure,Children,,903,163,555,337,235,93,1990,11.99,3.18,1.42,Drama,Thriller,Crime,Action,Mystery
196,11865,1.0,1194439770,0,100,2.61,0.93,1995,Horror,Sci-Fi,,903,163,555,337,235,98,1990,11.71,3.14,1.40,Drama,Thriller,Crime,Action,Mystery
552,11865,2.0,1194439778,0,100,3.08,0.91,1993,Action,Adventure,Comedy,903,163,555,337,235,99,1990,11.66,3.12,1.41,Drama,Thriller,Crime,Action,Mystery
3,11865,2.5,1195508314,0,100,2.96,1.01,1995,Comedy,Romance,,551,300,21,515,70,100,1991,9.91,2.95,1.33,Drama,Thriller,Crime,Action,Comedy
922,11865,5.0,1231102310,1,100,4.28,0.59,1950,Drama,Film-Noir,Romance,898,906,909,492,94,100,1989,13.59,2.81,1.26,Drama,Comedy,Thriller,Romance,Crime
750,11865,4.5,1248787171,1,100,4.09,0.82,1964,Comedy,War,,924,157,920,922,898,100,1988,16.00,2.84,1.28,Drama,Romance,Comedy,Thriller,Action
953,11865,4.5,1264876312,1,100,3.94,0.98,1946,Drama,Fantasy,Romance,908,919,594,215,154,100,1986,17.34,2.94,1.31,Drama,Romance,Comedy,Thriller,Action
239,11872,3.0,1395466240,0,100,3.00,1.01,1995,Animation,Children,Comedy,203,180,,,,2,1995,0.00,4.00,0.71,Comedy,Romance,,,
986,11872,2.0,1395466401,0,100,3.21,0.97,1996,Adventure,Children,,203,180,,,,3,1995,0.00,3.67,0.76,Comedy,Romance,,,
608,11872,5.0,1395467296,1,100,4.21,0.71,1996,Comedy,Crime,Drama,858,318,203,180,,6,1991,9.41,3.42,0.86,Comedy,Crime,Drama,Romance,
457,1192,3.5,1186335610,1,100,3.69,0.83,1993,Thriller,,,589,110,,,,5,1994,1.92,2.90,1.14,Action,Drama,War,Sci-Fi,
913,11965,2.5,1279489342,0,100,3.87,1.03,1941,Film-Noir,Mystery,,,,,,,3,1993,1.15,1.67,0.76,,,,,
